step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
4200,0.2635376453399658,0.89,0.7575757575757576,0.9552238805970149,0.8888888888888888,0.9552238805970149,0.9208633093525178,0.35077307766532956,0.8447563996696945,0.7034883720930233,0.9008073817762399,0.8844847112117781,0.9008073817762399,0.8925714285714286
4300,0.2842026948928833,0.9,0.7714285714285715,0.9692307692307692,0.8873239436619719,0.9692307692307692,0.9264705882352942,0.35543255990472467,0.8455821635012386,0.7005813953488372,0.903114186851211,0.8837471783295711,0.903114186851211,0.8933257273245864
4400,0.2132417857646942,0.92,0.8461538461538461,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.3572954390647934,0.8373245251857968,0.7034883720930233,0.8904267589388697,0.8832951945080092,0.8904267589388697,0.8868466398621482
4500,0.12346595525741577,0.96,0.9130434782608695,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.35121906726741414,0.8422791081750619,0.6918604651162791,0.9019607843137255,0.8806306306306306,0.9019607843137255,0.8911680911680911
4600,0.22309868037700653,0.9,0.8,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.34879909752268606,0.8464079273327828,0.688953488372093,0.908881199538639,0.8804469273743016,0.908881199538639,0.8944381384790011
4700,0.21521833539009094,0.91,0.782608695652174,0.948051948051948,0.9358974358974359,0.948051948051948,0.9419354838709677,0.3539051083485366,0.8398018166804294,0.6947674418604651,0.8973471741637832,0.8810872027180068,0.8973471741637832,0.8891428571428571
4800,0.3229644000530243,0.85,0.7,0.9142857142857143,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.3602766811442611,0.8398018166804294,0.7063953488372093,0.8927335640138409,0.8845714285714286,0.8927335640138409,0.888633754305396
4900,0.23684237897396088,0.93,0.8148148148148148,0.9726027397260274,0.9342105263157895,0.9726027397260274,0.9530201342281879,0.35927949964744443,0.8431048720066061,0.688953488372093,0.9042675893886967,0.8799102132435466,0.9042675893886967,0.8919226393629124
5000,0.3173491060733795,0.9,0.7,0.9857142857142858,0.8846153846153846,0.9857142857142858,0.9324324324324325,0.35459560093003445,0.8406275805119736,0.6802325581395349,0.9042675893886967,0.8769574944071589,0.9042675893886967,0.8904031800113571
5100,0.2572754919528961,0.88,0.7741935483870968,0.927536231884058,0.9014084507042254,0.927536231884058,0.9142857142857144,0.3554425578951963,0.8431048720066061,0.688953488372093,0.9042675893886967,0.8799102132435466,0.9042675893886967,0.8919226393629124
