step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
5100,0.03271681070327759,0.98,1.0,0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716,0.44074536309148277,0.8546655656482246,0.7383720930232558,0.9008073817762399,0.8966704936854191,0.9008073817762399,0.8987341772151898
5200,0.08281301707029343,0.9,0.6666666666666666,0.9736842105263158,0.9024390243902439,0.9736842105263158,0.9367088607594938,0.45882621317414785,0.8571428571428571,0.7296511627906976,0.9077277970011534,0.8943181818181818,0.9077277970011534,0.900973096737264
5300,0.020627304911613464,1.0,1.0,1.0,1.0,1.0,1.0,0.4674757240380589,0.8530140379851362,0.7616279069767442,0.889273356401384,0.9038686987104337,0.889273356401384,0.8965116279069767
5400,0.04971657693386078,0.94,0.8333333333333334,0.9736842105263158,0.9487179487179487,0.9736842105263158,0.9610389610389611,0.4579682753965831,0.8654004954582989,0.747093023255814,0.9123414071510957,0.9009111617312073,0.9123414071510957,0.9065902578796562
5500,0.02329590730369091,0.98,0.9411764705882353,1.0,0.9705882352941176,1.0,0.9850746268656716,0.48790497105251407,0.8596201486374897,0.6976744186046512,0.9238754325259516,0.8850828729281768,0.9238754325259516,0.9040632054176073
5600,0.05417628213763237,0.96,0.8571428571428571,1.0,0.9473684210526315,1.0,0.972972972972973,0.4883962307582455,0.870355078447564,0.7238372093023255,0.9284890426758939,0.8944444444444445,0.9284890426758939,0.9111488398415394
5700,0.02331594191491604,0.98,0.9411764705882353,1.0,0.9705882352941176,1.0,0.9850746268656716,0.44935595447064286,0.8546655656482246,0.6831395348837209,0.922722029988466,0.8800880088008801,0.922722029988466,0.900900900900901
5800,0.01953199692070484,0.96,1.0,0.9459459459459459,1.0,0.9459459459459459,0.9722222222222222,0.5199659201749751,0.8587943848059455,0.7093023255813954,0.9181084198385236,0.8883928571428571,0.9181084198385236,0.9030062393647191
5900,0.017419058829545975,0.98,0.9230769230769231,1.0,0.9736842105263158,1.0,0.9866666666666666,0.43557145380283324,0.8670520231213873,0.7558139534883721,0.9111880046136102,0.9038901601830663,0.9111880046136102,0.9075244112578977
6000,0.053003329783678055,0.96,0.8823529411764706,1.0,0.9428571428571428,1.0,0.9705882352941176,0.4907697628187134,0.8629232039636664,0.747093023255814,0.908881199538639,0.9005714285714286,0.908881199538639,0.904707233065442
6100,0.03462807089090347,0.96,0.9523809523809523,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.4829026433094594,0.8620974401321222,0.7441860465116279,0.908881199538639,0.8995433789954338,0.908881199538639,0.904188181296615
6200,0.026369845494627953,1.0,1.0,1.0,1.0,1.0,1.0,0.487433314553586,0.8604459124690339,0.7122093023255814,0.9192618223760092,0.8895089285714286,0.9192618223760092,0.9041406693136699
6300,0.03187258541584015,0.96,0.8823529411764706,1.0,0.9428571428571428,1.0,0.9705882352941176,0.5190990663932715,0.8645747316267548,0.7209302325581395,0.9215686274509803,0.8927374301675978,0.9215686274509803,0.9069239500567536
6400,0.0410383939743042,0.94,0.8125,1.0,0.918918918918919,1.0,0.9577464788732395,0.4544853236070897,0.8521882741535921,0.75,0.8927335640138409,0.9,0.8927335640138409,0.8963520555877244
